member_id,ticker,exchange,person_name,name_normalized,role,board_type,age,year_of_birth,education,shares,tenure_since,data_sources,confidence_score,is_current,scraped_at
50e51142,HPG,HOSE,Trần Đình Long,tran dinh long,Chủ tịch HĐQT,HĐQT,65.0,1961,CN Kinh tế,"1,980,000,000",1992,"cafef,vietstock",1.0,True,2026-03-05T00:43:25.669496
e635a8ed,HPG,HOSE,Doãn Gia Cường,doan gia cuong,Phó Chủ tịch HĐQT,HĐQT,63.0,1963,ThS QTKD,"96,209,794",1999,"cafef,vietstock",1.0,True,2026-03-05T00:43:25.669496
b8af24b5,HPG,HOSE,Nguyễn Mạnh Tuấn,nguyen manh tuan,Phó Chủ tịch HĐQT,HĐQT,64.0,1962,CN Kinh tế,"174,088,076",1996,"cafef,vietstock",1.0,True,2026-03-05T00:43:25.669496
d27823d8,HPG,HOSE,Trần Tuấn Dương,tran tuan duong,Phó Chủ tịch HĐQT,HĐQT,63.0,1963,CN Kinh tế,"177,556,764",1992,"cafef,vietstock",1.0,True,2026-03-05T00:43:25.669496
fed60dc2,HPG,HOSE,Hoàng Quang Việt,hoang quang viet,Thành viên HĐQT,HĐQT,65.0,1961,Đại học,"34,701,722",2001,"cafef,vietstock",1.0,True,2026-03-05T00:43:25.669496
4da0c5d3,HPG,HOSE,Nguyễn Ngọc Quang,nguyen ngoc quang,Thành viên HĐQT,HĐQT,66.0,1960,Trung cấp,"125,485,714",1992,"cafef,vietstock",1.0,True,2026-03-05T00:43:25.669496
1591fddd,HPG,HOSE,Chu Quang Vũ,chu quang vu,Thành viên HĐQT độc lập,HĐQT,,,Cử nhân,,Độc lập,"cafef,vietstock",1.0,True,2026-03-05T00:43:25.669496
8465ae8d,HPG,HOSE,Đặng Ngọc Khánh,dang ngoc khanh,Thành viên HĐQT độc lập,HĐQT,,,,"500,000",Độc lập,"cafef,vietstock",1.0,True,2026-03-05T00:43:25.669496
790029a1,HPG,HOSE,Trần Thị Thu Hiền,tran thi thu hien,Phụ trách quản trị,Ban GĐ,42.0,1984,CN Luật,"7,621",N/A,"cafef,vietstock",1.0,True,2026-03-05T00:43:25.669496
31876168,HPG,HOSE,Nguyễn Việt Thắng,nguyen viet thang,Thành viên HĐQT,HĐQT,56.0,1970,KS Xây dựng,"24,618,199",2003,"cafef,vietstock",1.0,True,2026-03-05T00:43:25.669496
fcf8e34f,HPG,HOSE,Nguyễn Thị Thảo Nguyên,nguyen thi thao nguyen,Phó Tổng GĐ,Ban GĐ,53.0,1973,CN Kinh tế,"805,042",1998,"cafef,vietstock",1.0,True,2026-03-05T00:43:25.669496
